IDPlant;Name;Type;DatePlant;Active;Obs
1;Royal Berry;Berrys;31/10/2018;1;solo: substrato inerte
2;Cheese Lettuce;Lettuce;01/10/2018;1;solo: substrato inerte, clone
3;Michel's 1;Avocado;23/09/2018;1;
4;Michel's 2;Avocado;23/09/2018;0;


